Water_type,Tea_form,Temperature,Time_min,Flavan_3_ols,Flavonols,Phenolic_acid_derivatives,Total,Ca_,Na_,K_,Mg_,Mn_,Cu_,Fe_,Zn_,Vitamin_C,Vitamin_B1,Vitamin_B2,Vitamin_B3,Vitamin_B6
Tap,Powder,85,10,6.56,0.13,0.98,7.67,51.2,23.19,84.28,18.32,2.68,0.0378,0.0028399999999999996,0.10166,21.0,0.2663,0.008,0.0637,0.5619
Tap,Powder,85,30,7.55,0.22,0.82,8.6,51.99,22.86,84.02,18.38,2.6,0.038619999999999995,0.00404,0.11031999999999999,17.9,0.2422,0.0019,0.06849999999999999,0.5162
Tap,Powder,5,120,6.44,0.2,0.72,7.37,46.89,28.5,78.1,17.12,2.38,0.01506,0.004860000000000001,0.08105,24.5,0.3063,0.012,0.024900000000000002,0.5143
Tap,Powder,5,360,2.35,0.02,0.51,2.88,35.92,20.59,53.84,12.82,2.18,0.0126,0.00298,0.06082,22.5,0.3456,0.008100000000000001,0.0377,0.5455
Tap,Powder,5,720,4.46,0.02,0.6,5.08,36.94,22.39,64.3,13.86,2.54,0.01244,0.00278,0.02536,19.6,0.2555,0.0033,0.039599999999999996,0.4547
Tap,Powder,20,120,1.85,0.0,0.44,2.29,48.65,27.53,78.32,16.78,2.3,0.030940000000000002,0.00304,0.10512,24.1,0.3591,0.009000000000000001,0.0345,0.5367999999999999
Tap,Powder,20,360,5.27,0.02,0.72,6.01,45.32,28.45,74.64,17.46,2.68,0.03272,0.0022,0.09318000000000001,22.799999999999997,0.28859999999999997,0.0063,0.0418,0.5482
Tap,Powder,20,720,6.23,0.06,0.89,7.18,42.76,27.59,78.9,17.82,3.06,0.03166,0.00206,0.08532,21.5,0.3089,0.014499999999999999,0.0436,0.5281
Tap,Leaves,85,10,6.59,0.0,0.66,7.25,51.41,40.64,73.58,19.86,2.08,0.03413,0.00248,0.07327,18.0,0.22519999999999998,0.015700000000000002,0.0388,0.49560000000000004
Tap,Leaves,85,30,6.91,0.11,0.81,7.83,49.77,36.46,66.14,18.24,2.1,0.03332,0.00244,0.07054,19.0,0.1814,0.02,0.0355,0.4235
Tap,Leaves,5,120,0.48,0.0,0.41,0.89,60.01,32.33,72.82,18.96,2.18,0.0158,0.00218,0.04861,21.6,0.34,0.0116,0.0319,0.5207
Tap,Leaves,5,360,0.88,0.0,0.43,1.31,61.08,37.64,81.21,21.3,2.91,0.02139,0.00267,0.08485,22.7,0.3293,0.0127,0.0379,0.638
Tap,Leaves,5,720,1.49,0.0,0.54,2.03,55.72,32.93,77.5,21.1,3.16,0.01866,0.00234,0.08428000000000001,20.4,0.2958,0.0146,0.0254,0.5294
Tap,Leaves,20,120,0.93,0.0,0.45,1.39,54.91,24.11,65.88,15.92,2.2,0.03578,0.00186,0.09173,20.9,0.3385,0.0115,0.0323,0.5707
Tap,Leaves,20,360,2.16,0.0,0.63,2.79,55.79,26.7,75.3,18.54,3.21,0.04521,0.00234,0.08841,18.799999999999997,0.254,0.0097,0.037599999999999995,0.4464
Tap,Leaves,20,720,0.81,0.0,0.43,1.24,52.94,25.99,73.86,18.96,3.14,0.042,0.0021000000000000003,0.08698,19.099999999999998,0.267,0.0123,0.0499,0.5113
